group,level,value_phase1,value_phase2,value_total
Cambridgeshire and Peterborough,3,642429,1724250,2366679
Greater Manchester,2,3174000,15871250,19045250
Liverpool City Region,4,1974000,7896000,9870000
London boroughs and TfL,2,5000000,20000000,2.5e+07
North East JTC,1,2262000,9049000,11311000
Sheffield City Region,4,1437000,5461550,6898550
Tees Valley,2,481542,1722000,2203542
West Midlands ITA,1,3850997,13097650,16948647
West of England,,827895,2964000,3791895
West Yorkshire,,2513000,10053000,12566000
Bedford,,30250,363750,394000
Blackburn with Darwen,,77000,292600,369600
Blackpool,,26000,312000,338000
"Bournemouth, Christchurch and Poole",,312835,1062100,1374935
Bracknell Forest,,57000,181800,238800
Brighton and Hove,,663657,2376000,3039657
Buckinghamshire,,513943,1748000,2261943
Central Bedfordshire,,223454,600000,823454
Cheshire East,,155000,588050,743050
Cheshire West and Chester,,161000,611800,772800
Cornwall,,152000,607000,759000
Cumbria,,260323,886350,1146673
Derby,,227923,776150,1004073
Derbyshire,,443000,1684350,2127350
Devon,,338000,1283450,1621450
Dorset,,128486,438900,567386
East Riding of Yorkshire,,123000,467400,590400
East Sussex,,535171,1820200,2355371
Essex,,968500,7358700,8327200
Gloucestershire,,321773,864750,1186523
Hampshire,,863000,3280350,4143350
Herefordshire,,20000,120000,140000
Hertfordshire,,1247329,6451450,7698779
Isle of Wight,,62000,235600,297600
Kent,,1600000,6098050,7698050
"Kingston upon Hull, City of",,272000,1035500,1307500
Lancashire,,782087,2801000,3583087
Leicester,,405568,1378450,1784018
Leicestershire,,335180,900000,1235180
Lincolnshire,,105500,799900,905400
Luton,,216000,822700,1038700
Medway,,242500,927000,1169500
Milton Keynes,,228000,684750,912750
Norfolk,,295500,1498150,1793650
North East Lincolnshire,,42000,319200,361200
North Lincolnshire,,41000,154850,195850
North Somerset,,106140,473750,579890
North Yorkshire,,133000,1011750,1144750
Northamptonshire,,351000,1332850,1683850
Nottingham,3,569806,2039000,2608806
Nottinghamshire,3,263250,2178350,2441600
Oxfordshire,2,298500,2985000,3283500
Plymouth,,249000,945250,1194250
Portsmouth,,214515,461400,675915
Reading,,221250,1179000,1400250
Rutland,,2500,36100,38600
Shropshire,,86000,259500,345500
Slough,,205577,552000,757577
Somerset,,120000,457900,577900
Southampton,,245000,1225000,1470000
Southend-on-Sea,,309000,927000,1236000
Staffordshire,,183000,1832500,2015500
Stoke-on-Trent,,126000,504750,630750
Suffolk,,376519,1685000,2061519
Surrey,,848000,6445750,7293750
Swindon,,214515,731500,946015
Telford and Wrekin,,76000,229500,305500
Thurrock,,288000,690000,978000
Torbay,,41250,132600,173850
Warrington,,130000,650000,780000
Warwickshire,,129000,979450,1108450
West Berkshire,,124000,495000,619000
West Sussex,,781000,2351250,3132250
Wiltshire,,227000,681000,908000
Windsor and Maidenhead,,140000,335400,475400
Wokingham,,76000,576650,652650
Worcestershire,,135500,649200,784700
York,,193287,658350,851637
